id,sender,message_body,category
305,SBIALERT,"Your card was used for Rs 1,250 at HDFC Bank ATM on 04 Mar. If not you, call us.",banking
306,INDIBOOKS,"Hi yaar, catching up later? Urgent pls ping na. 😅",personal
307,PROMO22,Flat 50% off on fashion at MyNtra this weekend. Use code MN50. Limited stock.,promotion
308,SWIGGY,Your order #S67890 is out for delivery. ETA 25 mins. 🙌,promotion
309,OTPSMS,OTP: 893102 for your transaction. Do not share. SMS security.,otp
310,GOIBIBO,"Your flight refund of ₹3,400 has been processed. It may take 5-7 days to reflect.",service
311,MYNTRA,"New drops alert! kurti, kurta set ₹1,299. Free shipping today.",promotion
312,UBER,Ride booked: car #UB1234. Driver on way. ETA 8 mins.,personal
313,ICICIBK,"Your credit card bill of ₹2,198 is due on 12th. Pay now to avoid late fee.",banking
314,AIRLINE,Your flight MH210 delayed by 1h. New slot: 9:45 PM. Check-in closed after 60 mins.,service
315,LOLLO,Warning: Your account noticed unusual activity. Please verify via OTP if this is you.,spam
316,UBER,Promo: 20% off on your next ride. Code: RIDE20. T&Cs apply.,promotion
317,PAYTM,Recharge ₹1999 done. Thanks for using Paytm wallet.,promotion
318,ICICIBK,"Dear customer, your withdrawal of ₹5,000 succeeded at ICICI ATM 10:22 AM.",banking
319,10DIGO,"Hey, u free this eve? Let’s plan a meet. msg me back.",personal
320,VERIFY,Your link is expired. OTP will expire in 2 mins. Ref: 000421.,otp
321,AXISBK,"Dear customer, your OTP for login is 483920. Do not share with anyone.",otp
322,ZOMATO,Your order #RZ12345 is out for delivery. ETA 40 mins. Enjoy!,promotion
323,SBIALERT,Your card is charged Rs. 799.00 at Flipkart. Ref: FLP79924,banking
324,VERIFY,OTP: 627981 for your XpressPay login. Valid for 10 min.,otp
325,INDICUS,"Hi, your plan renewal is due on 12 Nov. ₹499.99. Pay securely.",service
326,ICICIBK,"Rs. 1,250.00 debited from your account on 10 Nov for bill payment. Ref: 80615",banking
327,SWIGGY,Order #SWG-4082 confirmed. ETA 25 mins. Use code SIF30 for Rs. 30 off,promotion
328,OTPSMS,Your OTP is 4837. Do not share this with anyone.,otp
329,GOIBIBO,Your flight won’t be confirmed yet. Hold on while we process payment.,service
330,9XXXXXXXX,"Hi jaan, long time no talk! How r u doing? 😊",personal
331,KOTAKBK,postpaid bill Rs. 980 due on 15th. Pay now to avoid late fee.,banking
332,AMAZON,Your order MD-AX12 shipped. Tracking: 1Z999AA10123456784,promotion
333,VERIZ,"Alert: ₹2,450 charged at Uber ride. If not you, pls report.",spam
334,UBER,"Your ride is on its way. ETA 7 mins, rider AC, vehicle BLU-23",service
335,HDFCBK,"Rs. 2,000 debited for mobile recharge. Ref: HDFC-RECH-9876",banking
336,MYNTRA,"New drop: kurta set, 20% off today. Use code MN20",promotion
337,OTP-12345,OTP: 289102 for secure login. Valid 5 mins.,otp
338,AIRTEL,Your plan ₹599 now includes 2GB extra data this month.,promotion
339,IXIGO,Train cancelled due to delay. Please check your itinerary.,service
340,SPAM-01,"Congratulations, you won Rs. 5,00,000! Click to claim now.",spam
341,AXISBK,"Dear customer, your OTP for login is 482930. Do not share with anyone. Rs. 0.00 charge.",otp
342,ZOMATO,Order #ZMT12345 confirmed. Delivery by 7:45 pm. ETA ₹120. Please share location for fastest delivery.,promotion
343,HDFCBK,"Your mini statement: bal ₹5,420.89, debited ₹320 at eCom. Ref 874321.",banking
344,VERIFY,OTP: 746210 for your login. Valid for 10 mins. Ignore if not you.,otp
345,SWIGGY,₹60 off on your next order. Use code SWIG60. Valid till 31st Aug.,promotion
346,PERSONAL,"Hey yaar, long time! Let's catch up this weekend at Rs. 199 dinner plan.",personal
347,KOTAKBK,"Alert: Your card was used for online payment of ₹3,450 at Flipkart. If not you, call us.",banking
348,OTPSMS,Your code 593421 is for OTP verification. Do not share with anyone.,otp
349,MYNTRA,Diwali sale! up to 65% off on shoes and clothing. Free shipping on orders ₹999+.,promotion
350,UBER,Your ride is arriving in 5 min. Car nr 12A2 will stop near Gate 3.,service
351,UNKNOWN,"Caution: You’ve won a prize worth ₹1,00,000! Click link to claim now. TnCs apply.",spam
352,ICICIBK,"Cheque clear Rs. 12,000 has been credited to your account. Ref: 66321.",banking
353,ZOMATO,Your order #ZMT98765 has been delivered. Thanks for dining with us! 😊,personal
354,PAYTM,"Wallet top-up successful: ₹2000. Available balance ₹3,150.",service
355,IXIGO,Your train booking confirmed. PNR 8X9Y7Z. Journey on 12 Oct.,service
356,GOIBIBO,"Flight itn: ₹12,999 booked. Itinerary sent to your email.",service
357,FLIPKRT,"Flash sale: phones up to ₹3,000 off today only. Hurry!",promotion
358,9D9-CHASE,"Hi, your balance is ₹2,450. Check app for details.",banking
359,SBIALERT,"Alert: ₹1,200 debited to Amazonia. If not you, contact SB I Alert.",banking
360,OTPSMS,OTP 821690 for your transaction. Valid for 5 mins. Ignore if not you.,otp
361,AXISBK,Your OTP for ATM login is 482910. Do not share it. This will expire in 5 min.,otp
362,HDFCBK,"Rs. 2,450 was deducted from your account. If not you, call 1860-33-0000 now.",banking
363,ZOMATO,Order # ZM12345 placed. Estimated delivery by 45 mins. Track on app.,promotion
364,91XXXXXXXXXX,"Hey yaar, pls check ur WhatsApp, we missed you at meetup. 😅",personal
365,VERIFY,Your OTP is 638492 for your transaction. Do not share it with anyone.,otp
366,ICICIBK,"Alert: Rs. 12,300.50 debited to your account on POS at Mumbai. Ref: POS789654.",banking
367,AMAZON,Your order #AMZ-4182 has shipped. Estimated delivery: 2-3 days. Thanks for shopping with us.,promotion
368,10-digit,"Hey bro, saw your post. Let's catch up this weekend at 7 PM. Urgent pls confirm.",personal
369,SPAM1234,"Congratulations! You’ve won a ₹50,000 prize. Click now to claim. T&Cs apply.",spam
370,SWIGGY,Your dine-in promo: 15% off on orders above ₹399. Use code SWIG20.,promotion
371,OTPSMS,Your OTP 723456 for login; valid for 10 mins. Do not share.,otp
372,UBER,Your ride is here. Driver Rahul is arriving in 3 mins. Car: Swift Dzire.,service
373,KOTAKBK,"Low balance: Rs. 12, on your account. Recharge now to continue banking.",banking
374,MYNTRA,Festive sale: upto 60% off on apparels. Extra 10% with code FESTIVE.,promotion
375,GOIBIBO,Your flight schedule changed. Check your itinerary in the app. Booking ref: GB1234.,service
376,9XXXXXXXXXX,"Yo, booking confirmed. Meet at 8 PM near the cafe. 😎",personal
377,SBIALERT,"Alert: Rs. 2,200 withdrawn via IMPS. If not you, contact 080-WhatsApp support.",banking
378,PAYTM,Cashback received ₹75 on your last payment. Thanks for using Paytm.,promotion
379,OTPSMS,OTP 985632 for your transaction. Use within 5 minutes.,otp
380,IXIGO,Train delay: 45 mins. Your new ETA is 2:15 PM. Sorry for the inconvenience.,service
381,VERIFY,Your OTP is 483927. Do not share it with anyone. OTP valid for 10 mins.,otp
382,AXISBK,"Rs. 4,560 debited from your account on 12/11. Ref: 987654. If not you, call us.",banking
383,ZOMATO,Your order #ZTM12345 is out for delivery. ETA 15 mins. Tap to track.,promotion
384,KOTAKBK,"Hi! Your card payment of Rs. 1,200 to AMZN was approved. Ref 119988.",banking
385,UTSSMS,Reminder: Your bill due on 15 Nov ₹899. Pay now to avoid late charges.,service
386,OTPSMS,OTP 764321 for your login at 04:32 PM. Do not share with others.,otp
387,SWIGGY,₹150 off on your order today. Use code SWIGGYLOVE at checkout.,promotion
388,HDFCBK,"Your UPI payment of Rs. 2,300 to BPCL completed. Ref: 3920.",banking
389,SARAN,"Hey yaar, long time no chat. How have you been? 😊",personal
390,SBIALERT,"Alert: Your balance is ₹3,450. Available credit Rs. 5,200. Do you want to setup notifications?",banking
391,GOIBIBO,Your flight cancelation alert for 21 Nov. Rebooking options sent to your email.,service
392,OCLOCK,OTP 492817 for login to your account. Valid 5 mins only.,otp
393,AMAZON,"Your order #AMZ98765 placed. ETA 2 days. Total ₹1,299.",promotion
394,9xxxxx1234,"Hey, are we still meeting tonight? Msg me when free.",personal
395,ICICIBK,"Rs. 999 debited at ICICI Bank ATM. Ref 7842. If not you, call immediately.",banking
396,Myntra,Your order #MN123 is shipped. Tracking: TY987654. Delivery in 3-5 days.,promotion
397,OLACABS,Ride booked: Ola from Colaba to Andheri. Driver on the way.,service
398,MYNTRA,Exclusive: extra 10% off on menswear. Use code NY10 at checkout.,promotion
399,IBEX,"Bro, lunch at 1? Need your order in WhatsApp. Pls confirm.",personal
400,VERIFY,Your OTP is 728391. Do not share it with anyone.,otp
401,VERIFY,"Your OTP is 472839 for login at 07:24, valid for 10 mins. Do not share it.",otp
402,HDFCBK,"Alert: Rs. 1,250 debited from your account on ICICI POS on 07/11. Ref: 12345. If not you, call us.",banking
403,ZOMATO,Hi! Your order #ZMB12345 is confirmed. ETA 25 mins. Track: zt.io/track,promotion
404,SWIGGY,Order #SWG98765 placed. Delivery by 8:15 PM. ₹120 off with code WELCOME,promotion
405,UTRAN,"Hey, dinner plan tonight? Msg back ur date and time pls 😄",personal
406,9005551023, scam alert: Your account will be frozen if you don’t verify now. Reply STOP to unsubscribe,spam
407,AXISBK,"Your card has been charged Rs. 999.00 at POS XYZ. Ref: 67890. If this isn’t you, contact AXISBK help.",banking
408,PAYTM,Otp for payment of Rs. 430.25: 558322. Do not share this code.,otp
409,MYNTRA,Flash sale: up to 60% off on fashion & home. Shop now: myntra.in/flash,promotion
410,ICICIBK,"Your mini statement: Bal Rs. 12,450.58 | Last 5 txn ready on app.",banking
411,OLACABS,"Your ride is here. Driver name Riya, car KA01AB1234. ETA 3 mins.",service
412,GOIBIBO,Flight booked: BLR-DEL on 14Nov. PNR: 7L3X2A. E-ticket sent to your email.,service
413,10digit-91XXXXX1234,"Hey buddy, long time! How r u? Let's catch up soon.",personal
414,BTCLBK,Your bill of Rs. 299 is due on 15 Nov. Please pay to avoid late charges.,banking
415,ZOMATO,Congratulations! You won a free dessert with your next order. Use code DESSERT on checkout.,promotion
416,OTPSMS,OTP: 623987 for your checkout. Expires in 5 mins. Do not share.,otp
417,UBER,"Your ride is confirmed. Driver has arrived. Fare ₹180, paid via UPI.",service
418,SPAM-88,Special offer! Get Rs. 5000 cashback on fake app download. T&C apply.,spam
419,KOTAKBK,"Statement ready: Ending 1234, Balance Rs. 6,250.75. View in app.",banking
420,IBNLINE,Reminder: Your subscription will renew on 20th. ₹99. per month. Reply STOP to cancel.,service
421,AXISBK,Your OTP is 482910 for your AXIS login. Do not share it. valid for 5 min.,otp
422,ZOMATO,Order #ZMT12345 confirmed. ETA 25 mins. Enjoy your meal! 🍛,promotion
423,SBIALERT,Your credit card limit updated to Rs. 50000. Check app for details.,banking
424,VERIFY,OTP 593812 for your PayU verification. 2-min expiry.,otp
425,OLDNAV,Hi there! Kya scene aaj ka plan? 😄,personal
426,ICICIBK,Your account was debited by ₹1500 for NEFT on 07/11. Ref: NEFT4567,banking
427,WHATEVER,Special offer: 20% off on groceries. Use code SAVE20. Rs. 200 off.,promotion
428,UTREL,Reminder: Your flight IX123 is on 14 Nov at 10:45AM. Check-in opens 2h prior.,service
429,9digitnum,New security alert on your 9digitnum end: login from unknown device. Please verify.,spam
430,PAYTM,Txn alert: Rs. 4100 debited for bill pay on 06/11. Ref: PPAY-4100,banking
431,ASKME,Hi! Just checking in—how’s your day going? 😊,personal
432,ZOMATO,Your order #ZMT12346 is out for delivery. Expect arrival in 28 mins.,promotion
433,OTPSMS,OTP 847102 for your transaction. Do not share with anyone.,otp
434,GOIBIBO,"Your booking confirmed: Goa, 2 adults. PNR: GOI987. ₹1200 total.",service
435,KOTAKBK,"Your statement is ready. Balance Rs. 12,450.80. View in app.",banking
436,UBER,"Ride booked: UberX, ETA 4 mins. Driver: Raj 98765.",personal
437,AMAZON,Your order #AMZ9876 shipped. Tracking 1Z999AAA. Delivery soon.,promotion
438,ICICIBK,Your card is locked after 3 failed attempts. Unblock in app. ₹5000 limit remains.,banking
439,SWIGGY,Bill of ₹2300 for dinner tonight. Payment successful.,banking
440,9digitnum,Spam: You won a gift! Click link to claim Rs. 5000 now.,spam
441,AXISBK,Your OTP is 241678 for your AXIS account. Do not share it. Valid for 10 mins.,otp
442,SBIALERT,"Your account balance is Rs 12,450.50 as of today. To view more, log in.",banking
443,ZOMATO,Order #ZMN12345 confirmed. ETA 28 mins. Total Rs 512.00. Thanks for choosing Zomato!,promotion
444,VERIFY,OTP: 307289 for your online purchase. Valid for 5 mins. Ignore if not you.,otp
445,HDFCBK,"Txn alert: Rs 1,200 debited from AC ****1234 on 07/11. Balance: Rs 9,800.75.",banking
446,10digitnum91,"Hey yaar, missing you! Call me when free. Ül ~ just vibing. 😄",personal
447,SWIGGY,Your promo: Get Rs 150 off on orders over Rs 400. Use code SWIGGYOFFER at checkout.,promotion
448,ICICIBK,OTP for secure login: 492813. Do not share with anyone.,otp
449,GOIBIBO,"Your booking is confirmed. PNR 9B7ZQ2. Travel date 12 Dec. Fare Rs 3,450.",service
450,MYNTRA,"Flash sale: Rs 500 off on Rs 2,999+ order. Use code MYNTRA500.",promotion
451,VERIFY,OTP 816295 for your payment. 10 mins validity.,otp
452,UBER,Driver arriving in 5 mins. ETA 3 mins. Vehicle: SUV. Fare Rs 210.,service
453,AMAZON,"Your order #AMZ98765 shipped. Tracking: 1Z999AA10123456784. Total Rs 1,299.99.",promotion
454,KOTAKBK,"Alert: Rs 2,500 debit from your account on 07/11. If not you, contact support.",banking
455,10digitnum63,"Bro, chill yaar. Weekend plan ho ya? 😎 Msg back.",personal
456,ZOMATO,Delivery declined for order #ZMN13456. Reason: restaurant closed. Refund Rs 350 soon.,service
457,OTPMSGS,Your verification code is 654321. Do not share with anyone.,otp
458,FLIPKRT,Limited time: Rs 400 off on Rs 1999+ with code FLIP400. Shop now.,promotion
459,OLACABS,Ride canceled. Refund Rs 120 to your wallet. ETA 2 mins.,service
460,9digitnum,"Dude, new pic uploaded in group. Check it out when free.",personal
461,AXISBK,"Your OTP is 482910 for your Axis Bank transaction. Do not share it. Rs. 2,150 debited to BURGERZON on 12:45 PM today.",otp
462,HDFCBK,"₹1,299 deducted from your HDFC Bank account. Ref: TRX-AVX23. OTP 2736 confirm within 60s.",banking
463,ZOMATO,Your order #Z12345 is out for delivery. ETA 25 mins. Cash on delivery ₹250.,promotion
464,VERIFY,OTP for your Paytm recharge: 648291. Do not share this with anyone.,otp
465,MYNTRA,Flat 15% off on your order. Use code MNTRSALE. Shop now.,promotion
466,KOTAKBK,"Alert: ₹8,400 debited from your account. Ref: KTK-4921. If not you, call 1800-xxx-xxxx.",banking
467,SBI_ALERT,OTP 593218 for your online banking login. Valid for 10 minutes.,otp
468,SWIGGY,"Veg thali ₹199, FREE delivery today. Order #SWG-9889 placed.",promotion
469,10DIGIT-91,"Hey yaar, how are you? Long time no see! M seen ur message. 👋",personal
470,ICICIBK,"Payment of ₹1,050 successful. Ref: ICIC-PTX102. Balance: ₹12,450.",banking
471,OLACABS,"Your ride is here. Car arriving in 3 mins. Driver: Priya, Vehicle: Indigo.",service
472,UBER,Promo: 25% off on your next ride. Use code UBERLOVE. Ends tomorrow.,promotion
473,VERIFY,Your OTP is 761423 for securing your account. Do not share.,otp
474,GOIBIBO,Your flight ticket confirmed. PNR AB1234. E-ticket sent to your email.,service
475,INDBANK,"Balance alert: ₹6,320 in your account. Last 4: 8831.",banking
476,AMAZON,Your order #AMZ-5567 shipped. Tracking: RS123456789IN. ETA 2 days.,promotion
477,9DIGIT-9123,"Hey mate, lunch at 1? Biryani for ₹210. See you soon.",personal
478,FORMATION,We couldn’t verify your payment. Please try again or use another method.,service
479,PAYTM,OTP 492830 for your Paytm wallet top-up. Do not share.,otp
480,ICICIBK,"Your monthly statement is ready. Rs. 4,520 total debit this month.",banking
481,AXISBK,"Hi! your Rs. 3,450 withdrawal attempt was blocked. If this was you, reply YES. Else contact support.",banking
482,VERIFY,OTP: 917462 for your transaction at Flipkart. Do not share it with anyone. Valid for 10 mins.,otp
483,ZOMATO,Order #Z12345 confirmed. ETA 25 mins. Delivery partner on the way. Rs. 289. 💳,promotion
484,HDFCBK,"Your account balance: Rs. 12,540.60. In case of discrepancies, call 1860-891-9999.",banking
485,66X9K6,"Hey yaar, seen ur message? Need to catch up tomorrow 7 PM at for coffee? 😎",personal
486,OTPSMS,"OTP code 452893 for your HSBC transaction. Valid for 5 minutes. If not you, ignore.",otp
487,SWIGGY,Your order #SWG78612 is out for delivery. ETA 15-20 mins. Rs. 299,promotion
488,UBER,"Your ride is arriving shortly. Driver 8XYZ12, vehicle KA01AB1234. Fare Rs. 210.",service
489,ICICIBK,"Alert: login from new device. If this wasn’t you, reset your password immediately.",banking
490,MYNTRA,"Your order #MNX5012 shipped. Tracking: 1Z999AA10123456784. Total Rs. 1,299.",promotion
491,OTP,Your code is 638920 for verification on WhatsApp login. Do not share it.,otp
492,GOIBIBO,"Flight to Mumbai confirmed. PNR AB1234. Check-in opens 24 hrs prior. ₹5,999 total.",service
493,SBIALERT,"Alert: Rs. 2,150 charged at POS. If not you, please contact support.",banking
494,EBAY,Auction ending soon! Bid now and save Rs. 1200 today.,promotion
495,PERSONAL,"Bhai, chaai pe charcha? kal subah milte hain at 10. 😄",personal
496,PAYTM,"Wallet top-up of Rs. 500 successful. Txn ID: PYT12345. Balance now Rs. 4,320.",promotion
497,ICICIBK,"Your card has been charged Rs. 999 at Amazon. If this isn’t you, call 1800-419-3333.",banking
